Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Nigeria,209546,2838.0,197546.0,9162.0,985,13.0,3142971.0,14773.0,212753064
North Macedonia,197669,6978.0,183972.0,6719.0,94884,3350.0,1347969.0,647047.0,2083263
Norway,197504,884.0,88952.0,107668.0,36066,161.0,8004891.0,1461747.0,5476248
Oman,304066,4106.0,299434.0,526.0,57646,778.0,25000000.0,4739586.0,5274722
Pakistan,1266204,28312.0,1212687.0,25205.0,5592,125.0,20321823.0,89741.0,226448963
Palestine,419349,4331.0,403080.0,11938.0,79801,824.0,2581365.0,491225.0,5254956
Panama,470598,7297.0,461045.0,2256.0,106886,1657.0,3994979.0,907370.0,4402810
Papua New Guinea,25769,312.0,22586.0,2871.0,2811,34.0,207207.0,22605.0,9166604
Paraguay,460582,16228.0,444056.0,298.0,63562,2240.0,1873299.0,258523.0,7246161
Peru,2191171,199928.0,,,65277,5956.0,18594953.0,553959.0,33567374
Philippines,2735369,40977.0,2627331.0,67061.0,24539,368.0,22296827.0,200021.0,111472297
Poland,2945056,76179.0,2678296.0,190581.0,77926,2016.0,21607857.0,571746.0,37792774
Portugal,1080929,18106.0,1032802.0,30021.0,106411,1782.0,19430620.0,1912823.0,10158088
Qatar,238079,608.0,236575.0,896.0,84792,217.0,2767056.0,985487.0,2807805
Réunion,54438,372.0,53696.0,370.0,60245,412.0,1279618.0,1416127.0,903604
Romania,1486264,42616.0,1261267.0,182381.0,77933,2235.0,14015143.0,734895.0,19070936
Russia,8094825,226353.0,7065712.0,802760.0,55438,1550.0,200000000.0,1369715.0,146015725
Rwanda,99213,1314.0,45510.0,52389.0,7422,98.0,3012274.0,225338.0,13367819
S. Korea,346088,2698.0,316607.0,26783.0,6743,53.0,15344732.0,298963.0,51326482
Saint Kitts and Nevis,2589,21.0,2151.0,417.0,48224,391.0,51994.0,968465.0,53687
Saint Lucia,12280,237.0,11538.0,505.0,66480,1283.0,83992.0,454709.0,184716
San Marino,5475,91.0,5367.0,17.0,160916,2675.0,81542.0,2396602.0,34024
Sao Tome and Principe,3685,56.0,3132.0,497.0,16419,250.0,14689.0,65450.0,224432
Saudi Arabia,548018,8767.0,537037.0,2214.0,15430,247.0,29841399.0,840208.0,35516674
Senegal,73875,1872.0,71983.0,20.0,4267,108.0,824710.0,47630.0,17314939
Serbia,1062960,9214.0,932832.0,120914.0,122297,1060.0,6045768.0,695584.0,8691649
Seychelles,21903,119.0,21567.0,217.0,220937,1200.0,21504.0,216912.0,99137
Sierra Leone,6396,121.0,4393.0,1882.0,781,15.0,160729.0,19632.0,8187109
Singapore,154725,246.0,127571.0,26908.0,26180,42.0,20667026.0,3496931.0,5910046
Sint Maarten,4456,74.0,4335.0,47.0,102420,1701.0,53105.0,1220608.0,43507
Slovakia,443214,12872.0,406609.0,23733.0,81129,2356.0,3798412.0,695288.0,5463076
Slovenia,310170,4645.0,292428.0,13097.0,149170,2234.0,1657052.0,796924.0,2079309
Somalia,21269,1180.0,9927.0,10162.0,1292,72.0,239292.0,14532.0,16466901
South Africa,2917255,88674.0,2808160.0,20421.0,48396,1471.0,18217612.0,302225.0,60278408
South Sudan,12250,130.0,11826.0,294.0,1078,11.0,243877.0,21461.0,11363935
Spain,4990767,87051.0,4842516.0,61200.0,106690,1861.0,66213858.0,1415482.0,46778296
Sri Lanka,532766,13525.0,493314.0,25927.0,24746,628.0,5381256.0,249945.0,21529802
St. Vincent Grenadines,4637,54.0,2940.0,1643.0,41626,485.0,83999.0,754051.0,111397
Sudan,39550,3038.0,32872.0,3640.0,875,67.0,238579.0,5281.0,45174803
Suriname,47284,1040.0,27113.0,19131.0,79676,1752.0,141999.0,239276.0,593452
Sweden,1163595,14923.0,1130842.0,17830.0,114291,1466.0,13014907.0,1278353.0,10180996
Switzerland,858198,11181.0,811941.0,35076.0,98228,1280.0,11400594.0,1304900.0,8736756
Syria,39902,2446.0,25195.0,12261.0,2211,136.0,103566.0,5737.0,18051003
Taiwan,16347,846.0,15377.0,124.0,685,35.0,7053068.0,295444.0,23872749
Tajikistan,17086,124.0,16960.0,2.0,1741,13.0,,,9815041
Tanzania,26034,724.0,,,420,12.0,,,61935326
Thailand,1811852,18486.0,1689859.0,103507.0,25873,264.0,9201621.0,131400.0,70027386
Timor-Leste,19730,120.0,19537.0,73.0,14604,89.0,169501.0,125465.0,1350979
Togo,25926,240.0,25327.0,359.0,3039,28.0,536073.0,62846.0,8529934
Trinidad and Tobago,54405,1613.0,48526.0,4266.0,38712,1148.0,375969.0,267523.0,1405372
Tunisia,711007,25103.0,684635.0,1269.0,59354,2096.0,3026962.0,252688.0,11979038
Turkey,7714379,68060.0,7143657.0,502662.0,90209,796.0,92726642.0,1084316.0,85516262
UAE,738812,2122.0,732594.0,4096.0,73547,211.0,89888641.0,8948257.0,10045380
Uganda,125283,3187.0,96397.0,25699.0,2632,67.0,1758302.0,36932.0,47608882
UK,8541192,138852.0,6991909.0,1410431.0,124965,2032.0,321188533.0,4699250.0,68348890
Ukraine,2679185,61843.0,2344799.0,272543.0,61743,1425.0,13709705.0,315947.0,43392370
Uruguay,391358,6069.0,383724.0,1565.0,112158,1739.0,3725372.0,1067638.0,3489359
USA,45996507,748652.0,35710331.0,9537524.0,137912,2245.0,673979051.0,2020794.0,333521903
Uzbekistan,182060,1295.0,177979.0,2786.0,5339,38.0,1377915.0,40410.0,34098068
Venezuela,395223,4748.0,375597.0,14878.0,13950,168.0,3359014.0,118562.0,28331279
Vietnam,870255,21344.0,794846.0,54065.0,8837,217.0,42517091.0,431756.0,98474892
Yemen,9575,1813.0,6115.0,1647.0,312,59.0,265253.0,8647.0,30676633
Zambia,209549,3658.0,205699.0,192.0,11000,192.0,2547657.0,133735.0,19050065
Zimbabwe,132405,4659.0,126487.0,1259.0,8743,308.0,1468181.0,96952.0,15143429
